	0	1
Mean Flow	866.4724567258028	955.7706391196949
Peak Flow	10387.4	4896.0
Median Flow	429.08	706.51
Coeff Var	148.8175921910175	82.96229088563904
Skew	3.979348376044309	1.9407244618431323
Tqmean	0.2626813384235347	0.3611403548169772
R-B Index	0.27045596761300084	0.09038564674040646
7Q	107.30571428571432	220.09142857142854
3xMedian	63.36	35.14
Station	Wildcat	Tippe
